papel;cotacao_ontem;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
ABCB4;20.88999938964844;21.25;6.9;0.98;0.0;0.0602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1418;0.0;17445800.0;4910570000.0;0.0;0.20800000000000002
ABEV3;16.1200008392334;16.03;18.64;2.93;3.282;0.037599999999999995;1.848;58.16;16.29;-23.36;15.48;11.57;0.20149999999999998;0.1827;0.1533;0.157;1.13;370201000.0;86263100000.0;0.04;0.1195
AERI3;2.1600000858306885;2.16;33100.4;1.71;0.688;0.0096;0.495;1.26;9.35;-9.18;13.85;10.93;0.0735;0.0;0.0966;0.0001;2.49;10460900.0;967394000.0;1.71;0.0
AESB3;9.600000381469728;9.56;15.15;1.75;2.127;0.0092;0.403;2.26;19.13;-1.0;34.2;12.22;0.1112;0.1777;0.0285;0.11539999999999999;2.75;24679700.0;3274150000.0;2.42;3.7937
AGRO3;30.8799991607666;30.88;6.08;1.43;1.648;0.1502;0.945;2.86;4.67;6.88;4.93;4.39;0.3525;0.2711;0.2641;0.2347;3.28;16781500.0;2216050000.0;0.32;0.4925
ALLD3;8.510000228881836;8.68;5.95;0.54;0.141;0.1;0.193;0.73;3.64;2.57;5.13;3.86;0.038900000000000004;0.023799999999999998;0.0947;0.0904;1.59;702296.0;1505200000.0;0.42;0.0015
ALPA4;22.989999771118164;23.6;29.44;2.81;4.091;0.015600000000000001;2.113;11.78;26.02;14.43;25.94;21.35;0.1573;0.1384;0.0915;0.0955;1.83;84258500.0;5733070000.0;0.04;0.002
ALSO3;21.13999938964844;21.1;21.92;0.84;5.34;0.0182;0.495;4.49;10.23;-3.8;7.53;5.51;0.522;0.2921;0.0558;0.0381;2.52;37706700.0;6708840000.0;0.0;0.3336
AMAR3;2.569999933242798;2.67;-14.35;0.86;0.325;0.0;0.253;1.58;2.92;-1.13;7.64;4.06;0.11130000000000001;-0.0226;0.106;-0.059699999999999996;1.5;11499200.0;1069350000.0;1.62;-0.018799999999999997
AMBP3;28.729999542236328;29.49;27.67;3.22;1.142;0.0103;0.53;2.86;7.37;-1.29;12.9;7.8;0.155;0.051;0.09539999999999998;0.1162;1.87;26906400.0;1035450000.0;3.75;1.8587
AMER3;19.8700008392334;20.82;38.27;1.25;0.657;0.0297;0.437;2.14;13.36;-2.12;19.67;8.39;0.0492;0.0172;0.0454;0.032799999999999996;1.84;500332000.0;15106000000.0;1.03;0.4374
ANIM3;6.28000020980835;6.45;-8.29;0.97;0.753;0.0;0.249;8.03;4.1;-0.49;10.15;5.32;0.18359999999999999;-0.07730000000000001;0.0698;-0.11689999999999999;1.18;19419400.0;2688960000.0;1.88;0.3187
APER3;27.75;27.86;0.0;1.25;2.916;0.0019;0.813;4.55;0.0;-57.81;0.0;0.0;0.0;0.0;0.0;0.0;2.1;728103.0;434998000.0;0.0;0.1984
ARML3;15.520000457763672;15.85;55.74;4.9;7.975;0.022400000000000003;1.84;5.88;24.85;-8.44;28.14;19.75;0.321;0.1431;0.1103;0.08789999999999999;4.35;7174480.0;1119420000.0;1.44;0.0
ARZZ3;101.52999877929688;102.0;27.99;4.51;3.075;0.016;2.68;14.79;24.64;22.89;23.85;18.75;0.12480000000000001;0.109;0.1566;0.1611;1.53;110693000.0;2492430000.0;0.14;0.2396
ASAI3;18.1200008392334;18.11;15.28;7.37;0.518;0.0069;0.73;-42.54;6.94;-1.24;9.29;7.54;0.0746;0.0339;0.15039999999999998;0.4826;0.95;171526000.0;3311000000.0;3.43;0.6182
AZEV3;2.220000028610229;2.32;11.67;1.77;0.808;0.0;0.384;-7.39;-5.07;-0.82;-5.49;-9.94;-0.1592;0.0692;-0.087;0.1518;0.86;267708.0;101086000.0;0.32;0.26539999999999997
AZEV4;2.140000104904175;2.25;11.32;1.72;0.783;0.0;0.372;-7.17;-4.92;-0.79;-5.33;-9.66;-0.1592;0.0692;-0.087;0.1518;0.86;667788.0;101086000.0;0.32;0.26539999999999997
AZUL4;17.020000457763672;17.38;-2.52;-0.33;0.446;0.0;0.326;-0.77;3.51;-0.2;15.78;7.61;0.127;-0.1771;0.1167;0.1326;0.42;160624000.0;-18116800000.0;-1.28;0.0455
B3SA3;14.729999542236328;14.83;20.28;4.38;9.045;0.04019999999999999;1.908;14.89;15.75;-9.04;15.31;12.91;0.5744;0.4461;0.17920000000000003;0.21600000000000003;1.57;548883000.0;20653200000.0;0.61;0.25730000000000003
BBAS3;39.86000061035156;40.57;4.84;0.8;0.0;0.0883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16570000000000001;0.0;840265000.0;144912000000.0;0.0;0.1175
BBDC3;17.559999465942383;17.34;7.73;1.21;0.0;0.0332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1565;0.0;109982000.0;152704000000.0;0.0;0.16579999999999998
BBDC4;21.40999984741211;20.97;9.35;1.46;0.0;0.0302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1565;0.0;614894000.0;152704000000.0;0.0;0.16579999999999998
BBSE3;27.56999969482422;27.78;11.6;7.15;0.0;0.0706;4.054;0.0;9.67;0.0;0.0;0.0;0.0;0.0;0.0;0.6162;0.0;171410000.0;7770270000.0;0.0;0.0
BEEF3;12.40999984741211;12.58;10.03;10.94;0.25;0.0697;0.389;1.46;3.24;-1.29;6.04;5.19;0.0771;0.024900000000000002;0.2439;1.0912;1.68;107895000.0;698265000.0;18.34;0.1959
BKBR3;7.389999866485596;7.87;-28.02;1.46;0.655;0.0;0.547;9.97;39.58;-1.44;48.55;5.89;0.0166;-0.023399999999999997;0.0172;-0.0521;1.29;17671300.0;1485250000.0;0.71;0.09699999999999999
BLAU3;33.36000061035156;31.9;18.26;3.33;4.245;0.024900000000000002;2.401;4.4;13.63;5.55;12.48;11.87;0.3115;0.2311;0.2926;0.1821;4.3;14092900.0;1720940000.0;0.18;0.1446
BMGB4;2.609999895095825;2.6;7.96;0.39;0.0;0.12140000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0496;0.0;1850290.0;3839240000.0;0.0;0.10550000000000001
BMOB3;15.90999984741211;15.9;20.86;1.4;1.292;0.0127;1.053;2.46;15.43;2.75;10.16;6.5;0.08380000000000001;0.061900000000000004;0.1241;0.0672;3.11;5596940.0;1030490000.0;0.0;4.0098
BOAS3;6.510000228881836;6.37;13.43;1.57;4.051;0.0124;1.306;2.8;13.98;3.16;8.79;5.12;0.2897;0.3016;0.1954;0.1167;5.14;9331080.0;2162370000.0;0.02;0.13570000000000002
BPAN4;7.710000038146973;7.68;13.44;1.3;0.0;0.0296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0967;0.0;28567600.0;7718810000.0;0.0;0.1722
BRAP3;23.600000381469727;23.6;1.53;1.2;0.0;0.29350000000000004;1.19;35.84;-368.02;35.99;-355.71;-355.71;0.0;0.0;-0.0034000000000000002;0.782;6.01;2507820.0;7741050000.0;0.0;0.0
BRAP4;25.549999237060547;25.58;1.66;1.3;0.0;0.2979;1.29;38.85;-398.9;39.01;-386.59;-386.59;0.0;0.0;-0.0034000000000000002;0.782;6.01;71440100.0;7741050000.0;0.0;0.0
BRFS3;13.56999969482422;14.0;-10.15;1.24;0.297;0.0;0.267;2.54;11.29;-0.83;22.3;7.21;0.0263;-0.0273;0.0385;-0.1225;1.3;170782000.0;12186900000.0;1.89;0.1281
BRIT3;3.190000057220459;3.37;478.18;1.12;1.785;0.0004;0.536;12.34;12.11;-1.73;17.27;6.39;0.1474;0.0037;0.0536;0.0024;1.26;1575910.0;1346480000.0;0.8;0.0
BRKM5;27.90999984741211;28.09;3.42;2.36;0.206;0.32880000000000004;0.244;1.58;1.18;-0.51;2.28;1.84;0.175;0.0596;0.2894;0.6912;1.55;68347900.0;9469270000.0;3.62;0.2052
BRML3;9.890000343322754;9.92;17.41;0.75;6.272;0.0054;0.447;8.79;9.83;-1.47;12.52;11.65;0.6384000000000001;0.4018;0.049100000000000005;0.043;2.26;110054000.0;10976700000.0;0.32;-0.0137
BRPR3;6.03000020980835;5.99;-1.88;0.51;8.197;0.42200000000000004;0.304;-18.32;12.64;-0.97;22.43;22.24;0.6485;-4.3647;0.026099999999999998;-0.272;0.85;16479900.0;5559390000.0;0.53;-0.0611
BRSR6;12.220000267028809;12.72;6.53;0.58;0.0;0.0808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0888;0.0;23552400.0;8965820000.0;0.0;0.044000000000000004
CASH3;1.2699999809265137;1.35;-16.79;1.48;3.579;0.0;0.883;2.43;-8.46;3.21;-2.85;-3.02;-0.423;-0.2065;-0.2596;-0.08810000000000001;2.2;49473300.0;789982000.0;0.0;0.8614
CBAV3;12.149999618530272;12.01;5.09;1.31;0.766;0.024;0.585;2.6;4.54;-3.45;5.45;4.12;0.1689;0.1618;0.1576;0.25780000000000003;2.57;51044400.0;5449090000.0;0.54;0.0
CCRO3;12.800000190734863;12.79;6.81;2.21;1.465;0.0128;0.54;5.8;2.81;-1.03;5.09;4.11;0.5221;0.21170000000000003;0.225;0.3245;1.7;141698000.0;11692300000.0;2.36;0.1252
CEAB3;3.5799999237060547;3.8;4.73;0.41;0.194;0.0;0.13;0.98;62.64;-0.66;128.03;7.21;0.0031;0.041100000000000005;0.0029;0.08710000000000001;1.37;20804500.0;2844630000.0;0.82;0.1916
CIEL3;5.420000076293945;5.45;12.24;1.4;2.27;0.0408;0.141;1.14;10.63;-6346.11;12.78;8.25;0.21350000000000002;0.1855;0.0508;0.11449999999999999;1.17;155483000.0;10571800000.0;0.66;-0.1611
CLSA3;6.260000228881836;6.38;-8.92;1.63;2.52;0.0;1.288;2.12;-7.39;2.32;-4.47;-5.15;-0.3407;-0.2824;-0.4619;-0.18289999999999998;4.85;4409610.0;734833000.0;0.11;0.0
CMIG3;16.729999542236328;16.73;12.75;1.81;1.045;0.0825;0.692;13.35;7.63;-1.95;9.19;7.43;0.13699999999999998;0.08199999999999999;0.1023;0.1418;1.25;5534510.0;20363500000.0;0.55;0.1093
CMIG4;11.050000190734863;11.05;8.42;1.19;0.69;0.1249;0.457;8.82;5.04;-1.29;6.6;5.34;0.13699999999999998;0.08199999999999999;0.1023;0.1418;1.25;116418000.0;20363500000.0;0.55;0.1093
CMIN3;3.690000057220459;3.71;6.62;1.6;1.657;0.14980000000000002;0.843;3.56;4.85;-10.9;4.63;3.81;0.3419;0.2502;0.2724;0.24109999999999998;2.5;34143600.0;12745500000.0;0.52;-0.4524
COCE5;48.59999847412109;49.6;7.4;1.05;0.432;0.058600000000000006;0.323;-9.98;2.65;-0.77;5.3;4.23;0.163;0.0584;0.1391;0.1418;0.89;657683.0;3678840000.0;1.12;0.1548
COGN3;2.9200000762939453;3.12;-13.96;0.46;1.207;0.0;0.21;2.66;8.99;-0.78;17.91;8.5;0.1343;-0.091;0.0279;-0.0332;1.49;103540000.0;12615400000.0;0.76;-0.06509999999999999
CPFE3;34.25;33.62;7.67;2.77;0.951;0.11720000000000001;0.588;-43.0;4.45;-1.05;6.78;5.77;0.2138;0.1275;0.1482;0.3604;0.94;89600700.0;14006800000.0;1.74;0.0913
CPLE3;6.25;6.25;5.11;0.83;0.7;0.091;0.347;6.63;4.57;-0.94;7.04;5.31;0.1533;0.1391;0.086;0.1624;1.34;4667590.0;20596200000.0;0.63;0.1393
CPLE6;6.650000095367432;6.66;5.45;0.88;0.746;0.09390000000000001;0.37;7.06;4.87;-1.0;7.34;5.54;0.1533;0.1391;0.086;0.1624;1.34;67611400.0;20596200000.0;0.63;0.1393
CRFB3;19.56999969482422;19.29;15.34;2.04;0.466;0.0351;0.512;-14.33;9.53;-1.71;12.78;9.7;0.0489;0.0332;0.0699;0.13269999999999998;0.92;96645600.0;19936000000.0;0.89;0.1406
CRPG5;26.06999969482422;26.0;5.17;0.85;0.81;0.1128;0.664;1.44;5.98;1.87;4.9;3.89;0.1354;0.1566;0.135;0.16510000000000002;4.88;323524.0;883619000.0;0.0;0.1331
CSAN3;17.899999618530273;18.24;6.94;2.18;1.099;0.043899999999999995;0.337;2.67;7.55;-0.76;15.31;9.49;0.1456;0.1631;0.0533;0.3143;1.97;138350000.0;15676900000.0;3.05;0.34600000000000003
CSED3;4.960000038146973;5.27;35.35;1.4;1.042;0.0248;0.417;3.31;6.38;-0.93;6.94;4.14;0.16329999999999997;0.029500000000000002;0.0827;0.0395;1.98;2242060.0;1441780000.0;0.78;0.0726
CSMG3;15.260000228881836;15.73;13.96;0.85;0.991;0.024399999999999998;0.479;15.79;6.41;-1.8;9.56;5.23;0.15460000000000002;0.071;0.0817;0.061;1.21;28528100.0;7020860000.0;0.53;0.0725
CSNA3;14.3100004196167;14.32;5.49;0.89;0.442;0.0638;0.247;1.47;1.49;-0.9;2.92;2.44;0.2965;0.0959;0.2339;0.1625;1.68;169656000.0;21265500000.0;1.63;0.2305
CURY3;12.0;12.2;11.15;5.49;1.782;0.056299999999999996;1.22;4.69;8.19;134.41;7.54;7.67;0.2177;0.16449999999999998;0.2048;0.4926;1.55;21900300.0;648428000.0;0.62;0.3667
CVCB3;7.0;7.14;-4.04;4.03;1.788;0.0;0.415;-2.44;-10.96;-1.38;-12.15;87.48;-0.1631;-0.4437;-0.052000000000000005;-0.997;0.78;122361000.0;491391000.0;1.81;-0.15839999999999999
CXSE3;8.84000015258789;8.77;11.56;2.41;0.0;0.0616;2.383;37.86;-318.38;37.93;-310.74;-310.9;0.0;0.0;-0.0079;0.20850000000000002;6.63;25246900.0;10914100000.0;0.0;0.0
CYRE3;19.790000915527344;19.62;10.22;1.21;1.542;0.0288;0.532;1.48;10.92;19.06;13.21;11.72;0.1411;0.1673;0.0594;0.1184;2.9;155497000.0;6484400000.0;0.62;0.1696
DASA3;20.65999984741211;20.8;-66.05;1.56;0.983;0.014199999999999999;0.465;7.54;17.93;-1.09;29.25;11.09;0.0548;-0.0147;0.0304;-0.0236;1.29;8784300.0;7471900000.0;1.33;0.3675
DESK3;10.75;11.27;30.15;1.1;1.809;3.9397;0.409;-16.37;8.37;-1.02;12.4;7.06;0.2161;0.0758;0.0611;0.0363;0.9;2912540.0;896828000.0;0.99;0.0
DEXP3;6.590000152587891;7.0;3.8;1.25;0.302;0.055;0.496;1.2;2.73;3.88;3.62;3.28;0.1106;0.0943;0.2147;0.3286;2.75;2140850.0;526608000.0;0.64;0.36119999999999997
DIRR3;17.43000030517578;17.65;16.5;1.94;1.327;0.026600000000000002;0.46;1.13;7.12;-2.15;7.79;6.79;0.1864;0.11230000000000001;0.07919999999999999;0.1176;4.64;29439700.0;1364160000.0;0.88;0.2071
DMMO3;1.7999999523162842;1.79;-41.0;-1.81;3.094;0.0;2.653;8.88;5.58;-1.41;5.11;4.56;0.5545;-0.0755;0.6163000000000001;0.044199999999999996;2.04;28945000.0;-503962000.0;-0.0;-0.1681
DMVF3;4.599999904632568;4.69;12.86;0.28;0.181;0.0;0.164;3.7;2.35;-1.17;2.05;1.03;0.077;0.0141;0.08539999999999999;0.0219;1.19;495547.0;843217000.0;0.05;0.26539999999999997
DXCO3;9.550000190734863;9.49;5.88;1.26;0.823;0.12269999999999999;0.469;4.04;4.63;-1.89;6.92;4.64;0.1778;0.1401;0.1307;0.2141;1.44;38686400.0;5740790000.0;0.96;0.2
ECOR3;5.53000020980835;5.53;23.25;1.81;0.766;0.0;0.242;-5.2;2.85;-0.32;9.4;6.4;0.2688;0.03;0.0934;0.0779;0.69;38439100.0;2125250000.0;4.72;0.1157
EGIE3;39.40999984741211;38.71;18.0;3.99;2.585;0.057800000000000004;0.796;14.18;5.24;-1.32;7.94;6.73;0.4939;0.1438;0.17370000000000002;0.22149999999999997;1.4;71243400.0;7923410000.0;2.6;0.1363
ELET3;44.08000183105469;45.57;18.62;0.98;2.656;0.011000000000000001;0.428;8.15;24.68;-1.07;28.85;18.26;0.1076;0.1441;0.0189;0.0528;1.47;475510000.0;106712000000.0;0.34;0.0406
ELET6;45.790000915527344;47.47;19.4;1.02;2.767;0.022099999999999998;0.445;8.49;25.71;-1.11;29.88;18.92;0.1076;0.1441;0.0189;0.0528;1.47;144887000.0;106712000000.0;0.34;0.0406
ELMD3;11.550000190734863;12.2;-179.96;2.32;2.92;0.0;0.876;-11.53;21.69;-2.22;28.68;13.46;0.13470000000000001;-0.0128;0.0462;-0.0129;0.67;1388700.0;735970000.0;0.91;1.1207
EMBR3;12.609999656677246;12.86;-447.08;0.66;0.466;0.0;0.187;0.67;5.74;-1.25;10.05;6.3;0.08130000000000001;-0.0007000000000000001;0.044199999999999996;-0.0015;2.03;87835600.0;14355700000.0;1.15;0.0883
ENAT3;15.670000076293944;16.12;4.25;1.09;1.632;0.106;0.715;2.96;4.51;16.16;3.46;1.78;0.36200000000000004;0.3835;0.22829999999999998;0.25670000000000004;2.63;24080900.0;3922410000.0;0.17;0.3677
ENBR3;22.299999237060547;22.25;5.82;1.15;0.677;0.0986;0.364;3.36;3.29;-0.96;6.03;5.0;0.2059;0.1278;0.1244;0.1977;1.66;71310700.0;11248700000.0;1.18;0.0866
ENEV3;13.970000267028809;13.93;18.64;1.62;4.149;0.0;0.831;6.53;15.3;-3.95;18.86;13.34;0.2713;0.2229;0.0699;0.08689999999999999;1.85;148587000.0;13627900000.0;0.75;0.1396
ENGI11;43.97999954223633;43.53;6.48;1.81;0.633;0.0687;0.305;7.76;3.0;-0.54;6.59;5.43;0.2112;0.1076;0.11710000000000001;0.28;1.19;102722000.0;9788820000.0;2.78;0.1611
ENGI3;13.25;13.46;10.01;2.8;0.979;0.0444;0.471;12.0;4.64;-0.84;8.23;6.78;0.2112;0.1076;0.11710000000000001;0.28;1.19;128439.0;9788820000.0;2.78;0.1611
ENGI4;7.579999923706055;7.47;5.56;1.56;0.543;0.0801;0.261;6.66;2.57;-0.47;6.17;5.08;0.2112;0.1076;0.11710000000000001;0.28;1.19;244610.0;9788820000.0;2.78;0.1611
ENJU3;1.4700000286102295;1.5;-2.83;0.77;2.433;0.0;0.675;0.9;-2.42;0.92;0.34;0.38;-1.0063;-0.86;-1.4765000000000001;-0.2723;7.98;2722000.0;389912000.0;0.0;0.0
